24-08-11 13:55:31.986 [main] INFO  c.i.H.journalapp.JournalApplication ----- Starting JournalApplication using Java 17.0.10 with PID 32904 (C:\Users\patil\IdeaProjects\journalapp\target\classes started by patil in C:\Users\patil\IdeaProjects\journalApp) 
24-08-11 13:55:31.994 [main] INFO  c.i.H.journalapp.JournalApplication ----- The following 1 profile is active: "develop" 
24-08-11 13:55:33.151 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ----- Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
24-08-11 13:55:33.274 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ----- Finished Spring Data repository scanning in 110 ms. Found 2 MongoDB repository interfaces. 
24-08-11 13:55:34.097 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer ----- Tomcat initialized with port 8081 (http) 
24-08-11 13:55:34.108 [main] INFO  o.a.coyote.http11.Http11NioProtocol ----- Initializing ProtocolHandler ["http-nio-8081"] 
24-08-11 13:55:34.111 [main] INFO  o.a.catalina.core.StandardService ----- Starting service [Tomcat] 
24-08-11 13:55:34.112 [main] INFO  o.a.catalina.core.StandardEngine ----- Starting Servlet engine: [Apache Tomcat/10.1.25] 
24-08-11 13:55:34.198 [main] INFO  o.a.c.c.C.[.[localhost].[/journal] ----- Initializing Spring embedded WebApplicationContext 
24-08-11 13:55:34.198 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext ----- Root WebApplicationContext: initialization completed in 2082 ms 
24-08-11 13:55:34.597 [main] INFO  org.mongodb.driver.client ----- MongoClient with metadata {"application": {"name": "JournalAppCluster"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.11.2"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.10+11-LTS-240"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='patillakhan25', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@2839e3c8, com.mongodb.Jep395RecordCodecProvider@66bf40e5, com.mongodb.KotlinCodecProvider@2291d9a0]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=journalappcluster.isnzo8y.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-qa0f2y-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='JournalAppCluster', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null} 
